N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,65300.0,200.0,+0.31%,100.0,65000.0,65600.0,64700.0
2.0,LG에너지솔루션,591000.0,3000.0,-0.51%,500.0,588000.0,593000.0,584000.0
3.0,SK하이닉스,88500.0,800.0,-0.90%,5000.0,89000.0,89000.0,87700.0
4.0,삼성바이오로직스,812000.0,5000.0,-0.61%,2500.0,817000.0,818000.0,806000.0
5.0,LG화학,805000.0,3000.0,+0.37%,5000.0,802000.0,816000.0,782000.0
6.0,삼성SDI,755000.0,7000.0,-0.92%,5000.0,757000.0,760000.0,749000.0
7.0,삼성전자우,55700.0,500.0,+0.91%,100.0,55100.0,55700.0,54700.0
8.0,현대차,195000.0,1100.0,-0.56%,5000.0,195400.0,196100.0,193800.0
9.0,POSCO홀딩스,423500.0,7500.0,+1.80%,5000.0,419500.0,436000.0,416500.0
10.0,기아,84500.0,800.0,-0.94%,5000.0,85100.0,85300.0,84200.0
11.0,NAVER,197000.0,2000.0,-1.01%,100.0,199000.0,199300.0,196300.0
12.0,포스코퓨처엠,384500.0,42000.0,+12.26%,500.0,349000.0,384500.0,345500.0
13.0,카카오,60100.0,400.0,-0.66%,100.0,60200.0,60700.0,59600.0
14.0,셀트리온,175500.0,300.0,-0.17%,1000.0,177900.0,177900.0,175000.0
15.0,현대모비스,228000.0,3000.0,-1.30%,5000.0,230000.0,231000.0,226500.0
16.0,삼성물산,108500.0,1500.0,-1.36%,100.0,109600.0,110300.0,107900.0
17.0,KB금융,48400.0,250.0,-0.51%,5000.0,49000.0,49050.0,48000.0
18.0,LG전자,112200.0,3000.0,-2.60%,5000.0,115100.0,115100.0,111700.0
19.0,신한지주,35500.0,150.0,+0.42%,5000.0,35700.0,35950.0,35300.0
20.0,SK이노베이션,193500.0,3100.0,+1.63%,5000.0,191900.0,198300.0,190500.0
21.0,LG,88400.0,3700.0,-4.02%,5000.0,91000.0,91400.0,88000.0
22.0,삼성생명,64700.0,0.0,0.00%,500.0,64300.0,64900.0,64200.0
23.0,SK,170000.0,4700.0,-2.69%,200.0,174400.0,174500.0,169600.0
24.0,두산에너빌리티,19300.0,1220.0,+6.75%,5000.0,18350.0,19480.0,18250.0
25.0,하나금융지주,41500.0,700.0,-1.66%,5000.0,42350.0,42500.0,41400.0
26.0,한국전력,18930.0,200.0,+1.07%,5000.0,18850.0,18950.0,18630.0
27.0,KT&G,84300.0,700.0,+0.84%,5000.0,84000.0,84500.0,83100.0
28.0,카카오뱅크,23800.0,50.0,+0.21%,5000.0,23600.0,23900.0,23250.0
29.0,삼성전기,151800.0,2500.0,-1.62%,5000.0,154400.0,154600.0,151700.0
30.0,고려아연,556000.0,9000.0,+1.65%,5000.0,550000.0,565000.0,545000.0
31.0,하이브,260000.0,1000.0,+0.39%,500.0,265000.0,270000.0,254500.0
32.0,SK텔레콤,48150.0,150.0,-0.31%,100.0,48300.0,48300.0,47800.0
33.0,HMM,21350.0,750.0,+3.64%,5000.0,20700.0,21350.0,20500.0
34.0,LG생활건강,647000.0,5000.0,-0.77%,5000.0,651000.0,657000.0,642000.0
35.0,삼성화재,206500.0,1000.0,-0.48%,500.0,207500.0,208000.0,205500.0
36.0,HD현대중공업,105700.0,1000.0,+0.96%,5000.0,104900.0,106000.0,103900.0
37.0,크래프톤,189200.0,2700.0,-1.41%,100.0,191100.0,193400.0,186100.0
38.0,S-Oil,81500.0,600.0,-0.73%,2500.0,82500.0,83000.0,81500.0
39.0,삼성에스디에스,117900.0,1700.0,-1.42%,500.0,119300.0,119300.0,117200.0
40.0,한화솔루션,52300.0,700.0,+1.36%,5000.0,51900.0,52500.0,51300.0
41.0,대한항공,23350.0,200.0,+0.86%,5000.0,23100.0,23350.0,22900.0
42.0,우리금융지주,11570.0,100.0,-0.86%,5000.0,11730.0,11790.0,11530.0
43.0,엔씨소프트,377000.0,3000.0,-0.79%,500.0,380500.0,381000.0,370000.0
44.0,기업은행,10120.0,0.0,0.00%,5000.0,10120.0,10150.0,10030.0
45.0,KT,30900.0,150.0,+0.49%,5000.0,30650.0,30950.0,30550.0
46.0,카카오페이,59100.0,1300.0,-2.15%,500.0,59900.0,60100.0,58800.0
47.0,아모레퍼시픽,133300.0,2700.0,-1.99%,500.0,136700.0,138000.0,133100.0
48.0,롯데케미칼,180400.0,4600.0,-2.49%,5000.0,184500.0,184500.0,180100.0
49.0,메리츠금융지주,43650.0,850.0,-1.91%,500.0,44500.0,44500.0,43200.0
50.0,LG이노텍,259000.0,2500.0,-0.96%,5000.0,261000.0,261500.0,258000.0
51.0,현대글로비스,163100.0,200.0,+0.12%,500.0,162900.0,163400.0,160500.0
52.0,KODEX 200,33875.0,10.0,+0.03%,0.0,33850.0,33920.0,33715.0
53.0,넷마블,70900.0,400.0,+0.57%,100.0,70200.0,71800.0,69700.0
54.0,SK바이오사이언스,78600.0,4800.0,-5.76%,500.0,84000.0,84300.0,78600.0
55.0,삼성엔지니어링,30750.0,400.0,+1.32%,5000.0,30600.0,30850.0,30100.0
56.0,SK아이이테크놀로지,84000.0,2100.0,-2.44%,1000.0,86000.0,86100.0,83100.0
57.0,한국조선해양,83800.0,500.0,+0.60%,5000.0,83100.0,84800.0,83100.0
58.0,LG디스플레이,16250.0,310.0,-1.87%,5000.0,16540.0,16540.0,16040.0
59.0,SK스퀘어,40550.0,0.0,0.00%,100.0,40600.0,40950.0,40150.0
60.0,SK바이오팜,73200.0,2800.0,-3.68%,500.0,76000.0,76100.0,73100.0
